Initial max|⟨B·n⟩ᵢ|: 0.11594103759828579
J=2.8e-01, Jf=6.4e-02, ⟨B·n⟩=2.5e-02, Len=sum([14.7, 15.4, 14.6, 14.8, 15.4, 14.5])=89.5, ϰ=[9.1, 38.2, 5.1, 5.9, 13.2, 4.7], ∫ϰ²/L=[1.0, 3.3, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=1.4e+00
J=2.7e-01, Jf=5.9e-02, ⟨B·n⟩=2.4e-02, Len=sum([14.7, 15.5, 14.6, 14.8, 15.5, 14.5])=89.6, ϰ=[8.6, 46.9, 4.8, 6.1, 11.9, 4.2], ∫ϰ²/L=[0.9, 4.2, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=2.1e+00
J=9.1e-01, Jf=4.9e-02, ⟨B·n⟩=2.2e-02, Len=sum([14.7, 15.6, 14.7, 14.9, 15.8, 14.5])=90.2, ϰ=[7.3, 86.5, 3.8, 6.6, 10.7, 4.0], ∫ϰ²/L=[0.9, 9.9, 0.7, 1.2, 1.8, 0.7], C-C-Sep=0.41, C-S-Sep=0.07, ║∇J║=6.4e+01
J=2.7e-01, Jf=5.9e-02, ⟨B·n⟩=2.4e-02, Len=sum([14.7, 15.5, 14.6, 14.8, 15.5, 14.5])=89.6, ϰ=[8.6, 47.5, 4.7, 6.1, 11.8, 4.1], ∫ϰ²/L=[0.9, 4.3, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=2.1e+00
J=2.7e-01, Jf=5.8e-02, ⟨B·n⟩=2.4e-02, Len=sum([14.7, 15.5, 14.6, 14.8, 15.5, 14.5])=89.7, ϰ=[8.4, 48.3, 4.6, 6.1, 11.8, 3.9], ∫ϰ²/L=[0.9, 4.4, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.50, C-S-Sep=0.08, ║∇J║=8.9e-01
J=2.7e-01, Jf=5.7e-02, ⟨B·n⟩=2.4e-02, Len=sum([14.7, 15.5, 14.7, 14.8, 15.6, 14.5])=89.7, ϰ=[8.0, 50.0, 4.4, 6.0, 11.9, 3.7], ∫ϰ²/L=[0.9, 4.6, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=4.4e-01
J=2.6e-01, Jf=5.4e-02, ⟨B·n⟩=2.3e-02, Len=sum([14.7, 15.5, 14.7, 14.8, 15.6, 14.5])=89.8, ϰ=[7.5, 54.4, 4.2, 5.9, 11.8, 3.5], ∫ϰ²/L=[0.9, 5.2, 0.7, 1.2, 2.0, 0.7], C-C-Sep=0.49, C-S-Sep=0.10, ║∇J║=5.2e-01
J=2.8e-01, Jf=4.9e-02, ⟨B·n⟩=2.2e-02, Len=sum([14.7, 15.6, 14.8, 14.8, 15.7, 14.6])=90.1, ϰ=[5.1, 59.5, 3.3, 5.6, 11.9, 5.2], ∫ϰ²/L=[0.7, 6.0, 0.7, 1.1, 1.9, 0.8], C-C-Sep=0.48, C-S-Sep=0.09, ║∇J║=7.9e+00
J=2.6e-01, Jf=5.2e-02, ⟨B·n⟩=2.3e-02, Len=sum([14.7, 15.5, 14.7, 14.8, 15.6, 14.5])=89.9, ϰ=[6.6, 56.2, 3.8, 5.8, 11.4, 3.9], ∫ϰ²/L=[0.8, 5.4, 0.7, 1.2, 1.9, 0.7], C-C-Sep=0.50, C-S-Sep=0.10, ║∇J║=3.0e-01
J=3.1e-01, Jf=4.7e-02, ⟨B·n⟩=2.2e-02, Len=sum([14.6, 15.6, 14.8, 14.8, 15.7, 14.6])=90.3, ϰ=[4.9, 67.7, 3.2, 5.6, 12.0, 5.7], ∫ϰ²/L=[0.7, 7.2, 0.7, 1.1, 1.9, 0.9], C-C-Sep=0.47, C-S-Sep=0.08, ║∇J║=1.4e+01
J=2.6e-01, Jf=5.1e-02, ⟨B·n⟩=2.3e-02, Len=sum([14.7, 15.5, 14.7, 14.8, 15.6, 14.5])=89.9, ϰ=[6.2, 58.4, 3.7, 5.8, 11.6, 4.2], ∫ϰ²/L=[0.8, 5.7, 0.7, 1.2, 1.9, 0.8], C-C-Sep=0.49, C-S-Sep=0.10, ║∇J║=1.3e+00
J=2.6e-01, Jf=5.1e-02, ⟨B·n⟩=2.2e-02, Len=sum([14.7, 15.5, 14.7, 14.8, 15.7, 14.5])=90.0, ϰ=[5.8, 59.0, 3.6, 5.8, 11.4, 4.4], ∫ϰ²/L=[0.7, 5.8, 0.7, 1.2, 1.9, 0.8], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=5.8e-01
J=2.6e-01, Jf=4.8e-02, ⟨B·n⟩=2.2e-02, Len=sum([14.6, 15.6, 14.8, 14.9, 15.7, 14.5])=90.1, ϰ=[5.3, 65.6, 3.4, 5.9, 11.2, 4.9], ∫ϰ²/L=[0.7, 6.8, 0.7, 1.2, 1.8, 0.8], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=5.2e+00
J=2.6e-01, Jf=5.0e-02, ⟨B·n⟩=2.2e-02, Len=sum([14.6, 15.6, 14.7, 14.8, 15.7, 14.5])=90.0, ϰ=[5.7, 60.7, 3.5, 5.9, 11.4, 4.5], ∫ϰ²/L=[0.7, 6.1, 0.7, 1.2, 1.9, 0.8], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=1.2e+00
J=2.6e-01, Jf=4.7e-02, ⟨B·n⟩=2.2e-02, Len=sum([14.6, 15.6, 14.8, 14.9, 15.7, 14.6])=90.2, ϰ=[5.2, 69.8, 3.4, 5.9, 11.1, 5.0], ∫ϰ²/L=[0.7, 7.4, 0.7, 1.2, 1.8, 0.8], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=4.4e+00
